,Name,Release Year,Runtime,Genre,IMDb Rating,Gross Collection,Directors and Actors
0,"
1.
Avatar
(2009)
",(2009),162 min,"
Action, Adventure, Fantasy            ","







7.9
","Worldwide Lifetime Gross: $2,922,917,914","
    Director:
James Cameron
| 
    Stars:
Sam Worthington, 
Zoe Saldana, 
Sigourney Weaver, 
Michelle Rodriguez
"
1,"
2.
Avengers: Endgame
(2019)
",(2019),181 min,"
Action, Adventure, Drama            ","







8.4
","Worldwide Lifetime Gross: $2,797,501,328","
    Directors:
Anthony Russo, 
Joe Russo
| 
    Stars:
Robert Downey Jr., 
Chris Evans, 
Mark Ruffalo, 
Chris Hemsworth
"
2,"
3.
Titanic
(1997)
",(1997),194 min,"
Drama, Romance            ","







7.9
","Worldwide Lifetime Gross: $2,201,647,264","
    Director:
James Cameron
| 
    Stars:
Leonardo DiCaprio, 
Kate Winslet, 
Billy Zane, 
Kathy Bates
"
3,"
4.
Star Wars: Episode VII - The Force Awakens
(2015)
",(2015),138 min,"
Action, Adventure, Sci-Fi            ","







7.8
","Worldwide Lifetime Gross: $2,069,521,700","
    Director:
J.J. Abrams
| 
    Stars:
Daisy Ridley, 
John Boyega, 
Oscar Isaac, 
Domhnall Gleeson
"
4,"
5.
Avengers: Infinity War
(2018)
",(2018),149 min,"
Action, Adventure, Sci-Fi            ","







8.4
","Worldwide Lifetime Gross: $2,048,359,754","
    Directors:
Anthony Russo, 
Joe Russo
| 
    Stars:
Robert Downey Jr., 
Chris Hemsworth, 
Mark Ruffalo, 
Chris Evans
"
5,"
6.
Spider-Man: No Way Home
(2021)
",(2021),148 min,"
Action, Adventure, Fantasy            ","







8.2
","Worldwide Lifetime Gross: $1,916,306,995","
    Director:
Jon Watts
| 
    Stars:
Tom Holland, 
Zendaya, 
Benedict Cumberbatch, 
Jacob Batalon
"
6,"
7.
Jurassic World
(2015)
",(2015),124 min,"
Action, Adventure, Sci-Fi            ","







6.9
","Worldwide Lifetime Gross: $1,671,537,444","
    Director:
Colin Trevorrow
| 
    Stars:
Chris Pratt, 
Bryce Dallas Howard, 
Ty Simpkins, 
Judy Greer
"
7,"
8.
The Lion King
(2019)
",(2019),118 min,"
Animation, Adventure, Drama            ","







6.8
","Worldwide Lifetime Gross: $1,663,075,401","
    Director:
Jon Favreau
| 
    Stars:
Donald Glover, 
Beyoncé, 
Seth Rogen, 
Chiwetel Ejiofor
"
8,"
9.
The Avengers
(2012)
",(2012),143 min,"
Action, Sci-Fi            ","







8
","Worldwide Lifetime Gross: $1,518,815,515","
    Director:
Joss Whedon
| 
    Stars:
Robert Downey Jr., 
Chris Evans, 
Scarlett Johansson, 
Jeremy Renner
"
9,"
10.
Avatar: The Way of Water
(2022)
",(2022),192 min,"
Action, Adventure, Fantasy            ","







7.7
","Worldwide Lifetime Gross: $1,516,558,728","
    Director:
James Cameron
| 
    Stars:
Sam Worthington, 
Zoe Saldana, 
Sigourney Weaver, 
Stephen Lang
"
10,"
11.
Furious 7
(2015)
",(2015),137 min,"
Action, Crime, Thriller            ","







7.1
","Worldwide Lifetime Gross: $1,515,341,399","
    Director:
James Wan
| 
    Stars:
Vin Diesel, 
Paul Walker, 
Dwayne Johnson, 
Jason Statham
"
